Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,c1,c2,Neighbourhood size,Inertia,alpha,Maximum Velocity
True,[ 0.0609674 ],4.05062e-08,16,500,0.002641,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644903 ],1.26713e-08,16,500,0.0035772,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.067405 ],2.50741e-08,16,500,0.0049055,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671437 ],6.44085e-08,16,500,0.0057505,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0262779 ],7.83229e-08,16,500,0.0009986,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0440212 ],2.33507e-08,16,500,0.0018853,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0532984 ],6.60428e-11,16,500,0.002223,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0583218 ],3.04683e-08,16,500,0.0026477,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0609671 ],2.35447e-09,16,500,0.0036662,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644902 ],6.1065e-11,16,500,0.0037938,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0674054 ],3.46135e-08,16,500,0.0053503,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671434 ],9.0671e-11,16,500,0.0067101,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0262741 ],1.22554e-08,16,500,0.0009718,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0440227 ],2.56491e-08,16,500,0.0015079,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0532974 ],8.04665e-08,16,500,0.0025233,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.058323 ],6.53102e-08,16,500,0.0027236,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0609676 ],8.55176e-08,16,500,0.0045068,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0644901 ],8.70895e-10,16,500,0.0030277,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0674054 ],2.3619e-08,16,500,0.0060606,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
True,[ 0.0671431 ],7.336e-08,16,500,0.0068405,[ 0.05 ],[ 0.7 ],16,1e-07,500,2.05,2.05,4,0.729,1,[ 1e+06 ]
