Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,Crossover Rate,Mutation Scale Factor
False,[ 1.3684e-07 13.3899 -4.43684 -0.0606143 0.00662292 5.49996 ],0.225578,60,1000,4.43524,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 6.64529e-08 1.01868 0.651799 -0.0606906 0.0354805 5.49992 ],0.225579,60,1000,3.3626,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 1.89227e-08 15.2662 -0.463918 -0.0606967 0.00402164 5.49987 ],0.225578,60,1000,4.67567,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 1.16854e-07 22.3302 -10.2708 -0.0607257 0.00492408 5.49996 ],0.225579,60,1000,4.39351,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 1.13806e-06 4.281 0.124433 -0.0597211 0.0204432 5.49989 ],0.230233,60,1000,3.41015,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.0984772 29.2507 -29.3734 -0.198939 0.42955 5.48139 ],0.418423,60,1000,2.71334,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.108509 14.0879 -7.63019 -0.25486 0.0136896 5.49381 ],0.43198,60,1000,3.74287,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.112238 24.6049 -24.534 -0.287378 0.446729 5.41381 ],0.749478,60,1000,3.01388,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.112506 21.3819 -20.9182 -0.291864 0.241532 5.39923 ],0.761741,60,1000,3.64144,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.0955025 26.7473 -26.9218 -0.181095 0.437872 5.44103 ],0.750063,60,1000,2.67245,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.0958042 29.6172 -29.6623 -0.208816 0.46458 5.15666 ],0.747798,60,1000,2.89755,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.10006 29.8336 -29.993 -0.199274 0.443369 5.49967 ],0.418131,60,1000,2.76677,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.292733 7.542 2.99631 -2.86597 0.747159 5.42424 ],0.0917585,60,1000,2.68042,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.109277 18.3803 -6.18364 -0.258844 0.00741734 5.49789 ],43.1974,60,1000,4.37236,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,1000,0.6,0.99
False,[ 0.100385 29.8375 -30 -0.200153 0.443358 5.5 ],41.8127,60,10000,27.1501,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],60,0.01,10000,0.6,0.99
False,[ 0.108931 13.3224 -13.2617 -0.268141 0.477706 4.82921 ],42.4087,100,400,2.05081,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],100,0.01,400,0.6,0.99
False,[ 0.106356 18.8665 -18.9515 -0.23319 0.454663 5.20416 ],42.0602,100,400,1.93542,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],100,0.01,400,0.6,0.99
False,[ 0.0480417 28.773 -23.8467 -8.23736 2.34866 3.81137 ],44.4388,100,400,1.83337,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],100,0.01,400,0.6,0.99
False,[ 0.0520498 2.01515 -1.07315 -1.30694 2.46539 4.76343 ],47.8499,100,400,1.87355,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],100,0.01,400,0.6,0.99
False,[ 0.0712927 -0.917344 0.138603 1.6164 2.08542 4.89348 ],2.16676,100,400,0.779759,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],100,0.01,400,0.6,0.99
False,[ 0.072784 3.79947 -0.454342 -6.47441 2.24254 4.18864 ],1.16284,100,400,0.752884,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],100,0.01,400,0.6,0.99
False,[ 0.0764901 -9.05645 -0.0938684 15.1357 2.44814 4.12342 ],0.0198041,100,400,0.784793,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],100,0.01,400,0.6,0.99
True,[ 0.0728952 6.42743 -1.2229 -11.8897 1.63862 3.67376 ],0.00922664,100,363,0.704863,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],100,0.01,400,0.6,0.99
False,[ 0.0764283 -0.235619 -0.151814 0.481001 2.13779 4.44528 ],1.75404,100,400,0.745537,[ 2.70552e-08 2.82097 4.02642 -0.0602857 0.0489396 5.49999 ],[ 0.7 0.7 0.7 0.7 0.7 0.7 ],100,0.01,400,0.6,0.99
